#{"t_start": 1763845434.2315786, "env_id": "None"}
r,l,t
4.55,23,106.759033
4.32,34,106.886926
3.915,55,107.077324
-5.39,20,107.149725
3.73,64,107.356018
-5.7,35,107.4726
4.33,34,107.586855
4.655,18,107.644191
4.61,20,107.711251
-5.615,31,107.813019
-5.26,13,107.857192
-6.235,62,108.061466
-5.42,21,108.130352
-5.655,33,108.241877
-5.6,30,108.34526
-6.34,67,108.570823
-5.36,18,108.633627
-5.335,17,108.695664
-6.35,68,108.916367
-5.5,25,108.999709
-6.245,63,111.590914
4.61,20,111.662337
-5.39,20,111.731649
-5.635,32,111.838069
4.425,29,111.936142
-5.42,21,112.008852
-6.285,65,112.220258
3.95,53,112.401552
4.25,38,112.53063
-5.4,20,112.599641
3.855,58,112.792314
-5.53,27,112.878125
-5.33,17,112.935622
-6.26,63,113.137603
-5.375,19,113.202641
4.545,23,113.283478
-5.605,31,113.382843
-6.265,64,113.594846
-6.065,54,113.790764
-5.34,17,113.848613
4.885,6,113.868966
-5.295,15,113.919399
3.815,60,114.116086
-5.665,34,114.233196
-6.22,61,114.432528
4.87,7,114.457866
4.615,20,114.523356
-5.525,27,114.612208
-5.45,23,114.68938
4.395,31,114.790588
4.05,48,114.951535
4.65,18,115.013741
3.615,70,115.24678
-5.245,13,115.291199
-5.385,20,115.35612
-5.285,15,115.405888
-5.29,15,115.45443
-5.425,22,115.527261
-1.22,61,115.729829
4.85,8,115.755581
-5.53,27,115.849001
-6.45,73,116.101428
-5.475,24,116.179299
-5.35,18,116.238834
4.415,30,116.337628
-6.265,64,116.545825
4.87,7,116.570675
-6.485,75,116.818337
-5.29,15,116.868631
-5.525,27,116.95971
-5.375,19,117.023131
-5.825,42,117.162142
-5.21,11,117.197623
-5.34,17,117.260016
-5.605,31,117.364638
4.325,34,117.482583
-5.65,33,117.593823
4.245,38,117.723981
-5.46,23,117.800218
3.795,61,118.009694
-5.365,19,118.074326
3.975,52,118.247689
-6.51,76,120.372149
4.575,22,120.444295
-5.3,15,120.492828
-5.65,33,120.611462
-5.155,8,120.63838
-5.405,21,120.712826
-6.25,63,120.917368
-5.3,15,120.970482
-5.595,30,121.068692
4.125,44,121.21246
-5.5,25,121.297024
-5.45,23,121.370663
4.41,30,121.470615
-5.59,30,121.571359
3.79,61,121.775018
-5.355,18,121.837809
3.88,56,122.028198
-5.83,42,122.161485
4.605,20,122.225345
-6.12,56,122.417129
4.385,31,122.538974
3.84,58,122.729421
4.385,31,122.830196
-6.28,64,123.038735
3.995,51,123.201559
-5.675,34,123.323596
-5.15,8,123.35294
-5.52,26,123.438982
4.455,28,123.531761
4.13,44,123.674656
-5.43,22,123.745991
-6.4,70,123.982249
4.88,6,124.002961
4.395,31,124.101014
4.355,33,124.210656
4.62,19,124.287982
-6.35,68,124.519346
-6.16,58,124.740196
-5.42,21,124.813375
-5.345,18,124.875978
4.21,40,125.012841
-5.455,23,125.087196
-5.18,9,125.120693
-5.345,18,125.181522
-5.62,31,125.287013
4.585,21,125.368809
4.46,27,125.473567
-6.335,67,125.716773
3.73,64,125.949473
-5.36,18,126.009949
-6.25,63,126.229201
-6.41,71,126.46997
4.43,29,126.564609
4.645,18,126.624608
4.355,33,126.735504
-5.405,21,126.812969
4.84,8,126.841036
3.44,78,127.106887
-5.18,9,127.138495
-5.46,23,127.215734
3.76,62,129.804972
-5.35,18,129.863736
4.48,26,129.950824
4.475,27,130.039618
4.48,26,130.121799
3.84,58,130.310568
4.32,34,130.424395
-5.51,26,130.508232
4.165,42,130.644009
4.625,19,130.70919
4.61,20,130.780813
4.07,47,130.935103
-6.25,63,131.146584
4.41,30,131.242381
-5.465,24,131.320623
-5.825,42,131.464728
4.355,33,131.577028
-5.825,42,131.714718
4.395,31,131.81548
3.47,77,132.065547
-6.2,60,132.259397
-5.72,36,132.376309
4.615,20,132.443841
-5.25,13,132.489821
-5.375,19,132.550274
-5.36,18,132.615712
-5.53,27,132.709224
-5.26,13,132.751351
-5.385,20,132.816234
-6.24,62,133.018564
4.845,8,133.044866
4.465,27,133.139542
4.43,29,133.23781
4.58,21,133.309099
-5.41,21,133.378272
4.285,36,133.498014
4.21,40,133.624834
4.07,47,133.788412
4.205,40,133.925495
3.955,53,134.120106
4.9,5,134.137231
4.065,47,134.30405
-5.16,8,134.332584
3.685,66,134.575351
-5.43,22,134.656059
-6.255,63,134.864639
4.855,8,134.890948
-5.18,9,134.921175
4.59,21,134.99096
3.515,75,135.23426
4.505,25,135.313976
-5.385,20,135.379467
3.905,55,135.552923
-5.615,31,135.654311
-5.15,8,135.680164
-5.52,26,135.764679
-6.325,67,135.979737
-5.295,15,136.037583
